,review,clean_text_stopward,clean_text,dominant_topic
0,"I'm not a huge mcds lover, but I've been to better ones. This is by far the worst one I've ever been too! It's filthy inside and if you get drive through they completely screw up your order every time! The staff is terribly unfriendly and nobody seems to care.","I'm huge mcds lover, I've better ones. This far worst one I've ever too! It's filthy inside get drive completely screw order every time! The staff terribly unfriendly nobody seems care.",huge mcds lover better one far worst one ever filthy inside get drive completely screw order every time staff terribly unfriendly nobody seems care,1
1,"Terrible customer service. ξI came in at 9:30pm and stood in front of the register and no one bothered to say anything or help me for 5 minutes. ξThere was no one else waiting for their food inside either, just outside at the window. ξ I left and went to Chickfila next door and was greeted before I was all the way inside. This McDonalds is also dirty, the floor was covered with dropped food. Obviously filled with surly and unhappy workers.","Terrible customer service. came 9:30pm stood front register one bothered say anything help 5 minutes. ξThere one else waiting food inside either, outside window. ξ I left went Chickfila next door greeted I way inside. This McDonalds also dirty, floor covered dropped food. Obviously filled surly unhappy workers.",terrible customer service ξi came pm stood front register one bothered say anything help minute ξthere one else waiting food inside either outside window ξ left went chickfila next door greeted way inside mcdonalds also dirty floor covered dropped food obviously filled surly unhappy worker,5
2,"First they ""lost"" my order, actually they gave it to someone one else than took 20 minutes to figure out why I was still waiting for my order.They after I was asked what I needed I replied, ""my order"".They asked for my ticket and the asst mgr looked at the ticket then incompletely filled it.I had to ask her to check to see if she filled it correctly.She acted as if she couldn't be bothered with that so I asked her again.She begrudgingly checked to she did in fact miss something on the ticket.So after 22 minutes I finally had my breakfast biscuit platter.As I left an woman approached and identified herself as the manager, she was dressed as if she had just awoken in an old t-shirt and sweat pants.She said she had heard what happened and said she'd take care of it.Well why didn't she intervene when she saw I was growing annoyed with the incompetence?","First ""lost"" order, actually gave someone one else took 20 minutes figure I still waiting order.They I asked I needed I replied, ""my order"".They asked ticket asst mgr looked ticket incompletely filled it.I ask check see filled correctly.She acted bothered I asked again.She begrudgingly checked fact miss something ticket.So 22 minutes I finally breakfast biscuit platter.As I left woman approached identified manager, dressed awoken old t-shirt sweat pants.She said heard happened said she'd take care it.Well intervene saw I growing annoyed incompetence?",first lost order actually gave someone one else took minute figure still waiting order asked needed replied order asked ticket asst mgr looked ticket incompletely filled ask check see filled correctly acted bothered asked begrudgingly checked fact miss something ticket minute finally breakfast biscuit platter left woman approached identified manager dressed awoken old shirt sweat pant said heard happened said take care well intervene saw growing annoyed incompetence,9
3,I see I'm not the only one giving 1 star. Only because there is not a -25 Star!!! That's all I need to say!,I see I'm one giving 1 star. Only -25 Star!!! That's I need say!,see one giving star star need say,5
4,"Well, it's McDonald's, so you know what the food is. ξThis review reflects solely on the poor service. ξI have been to this location countless times over the years. ξThey consistently fail on the service end of things. ξThe order takers tend to be rude, no smiles, and a lot of ""sighs"" and ""lip smacking"" when you talk to them. ξSo why go back you ask? This store benefits from being the only place to eat in this area. ξThe next stop is at least 12 minutes away on the other side of town. ξAlso I strongly believe in 2nd chances and know that not every business can satisfy everyone 100% of the time. ξI have given them many chances at earning a positive review. ξI could not recommend this location any less. ξIf you can wait, take a pass. ξThere are better McDonald's stores in Griffin, GA.","Well, McDonald's, know food is. ξThis review reflects solely poor service. location countless times years. ξThey consistently fail service end things. ξThe order takers tend rude, smiles, lot ""sighs"" ""lip smacking"" talk them. ξSo go back ask? This store benefits place eat area. ξThe next stop least 12 minutes away side town. ξAlso I strongly believe 2nd chances know every business satisfy everyone 100% time. given many chances earning positive review. could recommend location less. ξIf wait, take pass. ξThere better McDonald's stores Griffin, GA.",well mcdonald know food ξthis review reflects solely poor service ξi location countless time year ξthey consistently fail service end thing ξthe order taker tend rude smile lot sigh lip smacking talk ξso go back ask store benefit place eat area ξthe next stop least minute away side town ξalso strongly believe nd chance know every business satisfy everyone time ξi given many chance earning positive review ξi could recommend location le ξif wait take pas ξthere better mcdonald store griffin ga,5
5,This has to be one of the worst and slowest McDonald's franchises there is. Can't figure out why my Egg McMuffin is always on a stale un-toasted English muffin. Bought A chocolate shake today and threw it away.,This one worst slowest McDonald's franchises is. Can't figure Egg McMuffin always stale un-toasted English muffin. Bought A chocolate shake today threw away.,one worst slowest mcdonald franchise figure egg mcmuffin always stale un toasted english muffin bought chocolate shake today threw away,4
6,"I'm not crazy about this McDonald's. ξThis is primarily because they are so slow. ξMy gosh what exactly is the hold up? ξIt's FAST food people. ξAlso, this morning, I guess the worker thought his mic was off, but it wasn't. ξI now know that he is trying to get as many hours as possible because he needs money BAD. ξSpread the word. ξAnyway, this location is on a little access road ξand you have to go back the way you came because there is no exit from it at the other end. ξIt would have helped if there was one. ξSo, in the end I think I'll avoid this location and find another. ξThis should be easy as there is no shortage of Mickey D's in this piece.","I'm crazy McDonald's. ξThis primarily slow. ξMy gosh exactly hold up? ξIt's FAST food people. ξAlso, morning, I guess worker thought mic off, wasn't. know trying get many hours possible needs money BAD. ξSpread word. ξAnyway, location little access road ξand go back way came exit end. ξIt would helped one. ξSo, end I think I'll avoid location find another. ξThis easy shortage Mickey D's piece.",crazy mcdonald ξthis primarily slow ξmy gosh exactly hold ξit fast food people ξalso morning guess worker thought mic ξi know trying get many hour possible need money bad ξspread word ξanyway location little access road ξand go back way came exit end ξit would helped one ξso end think avoid location find another ξthis easy shortage mickey piece,0
7,"One Star and I'm beng kind. I blame management. last day of free coffee so ""we"" decide to stop and order breakfast and coffees thru drive-thru. She charged us for coffee and when asked why she said she needed to confirm there were two of us in the car. Now she has to clear the order and that took retraining. Ask next time at tthe speaker.Oh it gets better....We get to next window where Einstein is waiting, pours the coffees with different creams/sugars added. ""Which one is which?"" I asked... and he smiled and said ""One has 2 cream 2 sugar and the other has 3 cream 1 sugar"".. didnt maek the cups... but at least he made sure we had straws for our coffees.... Hello? management? Where are You?","One Star I'm beng kind. I blame management. last day free coffee ""we"" decide stop order breakfast coffees thru drive-thru. She charged us coffee asked said needed confirm two us car. Now clear order took retraining. Ask next time tthe speaker.Oh gets better....We get next window Einstein waiting, pours coffees different creams/sugars added. ""Which one which?"" I asked... smiled said ""One 2 cream 2 sugar 3 cream 1 sugar"".. didnt maek cups... least made sure straws coffees.... Hello? management? Where You?",one star beng kind blame management last day free coffee decide stop order breakfast coffee thru drive thru charged u coffee asked said needed confirm two u car clear order took retraining ask next time tthe speaker oh get better get next window einstein waiting pours coffee different cream sugar added one asked smiled said one cream sugar cream sugar didnt maek cup least made sure straw coffee hello management,8
8,"Never been upset about any fast food drive thru service till I came to this McDonalds.After a long trip from California my wife and I went to McDonalds for a quick bite to eat before our drive back home. We pull up to the drive thru but there are a lot of cars waiting to order. We were guessing there must be a lot demand for McDonalds at this late hour. So we wait about 5 - 10 minutes for our turn to order. We order the specials they were having at that time (20 pcs chicken nuggets for $5) and asked for a cup of water because we didn't want to drink any sodas at that late hour. They take our order but tells us they don't serve cups of water there. So we are a little annoyed but ok we shrug it off and wait our turn to pay and receive our order. However, we wait for almost another 10 min to finally pay at the first window - then another 5 more min to finally receive our food. By far the worst McDonalds in the world. Unfriendly and slow.","Never upset fast food drive thru service till I came McDonalds.After long trip California wife I went McDonalds quick bite eat drive back home. We pull drive thru lot cars waiting order. We guessing must lot demand McDonalds late hour. So wait 5 - 10 minutes turn order. We order specials time (20 pcs chicken nuggets $5) asked cup water want drink sodas late hour. They take order tells us serve cups water there. So little annoyed ok shrug wait turn pay receive order. However, wait almost another 10 min finally pay first window - another 5 min finally receive food. By far worst McDonalds world. Unfriendly slow.",never upset fast food drive thru service till came mcdonalds long trip california wife went mcdonalds quick bite eat drive back home pull drive thru lot car waiting order guessing must lot demand mcdonalds late hour wait minute turn order order special time pc chicken nugget asked cup water want drink soda late hour take order tell u serve cup water little annoyed ok shrug wait turn pay receive order however wait almost another min finally pay first window another min finally receive food far worst mcdonalds world unfriendly slow,5
9,"This McDonald's has gotten much better. Usually my order would be wrong every single time so I would not leave that window until I checked every single item. I only hit up fast food once a month or so and it needs to be worth it. Also the fries used to be cold and the cheese on the burger was never melted. Everything was just lukewarm. Now my order has been right a few times in a row and my food hot. Also, I love dining room. Usually you wouldn't find me actually inside a fast food joint but this place has nice flooring, stacked stone, lots of large windows and a flat screen TV usually on HLN. Sometimes its nice to sneak away for a quick weekend breakfast, you know, a little budget and time friendly mommy and me date.","This McDonald's gotten much better. Usually order would wrong every single time I would leave window I checked every single item. I hit fast food month needs worth it. Also fries used cold cheese burger never melted. Everything lukewarm. Now order right times row food hot. Also, I love dining room. Usually find actually inside fast food joint place nice flooring, stacked stone, lots large windows flat screen TV usually HLN. Sometimes nice sneak away quick weekend breakfast, know, little budget time friendly mommy date.",mcdonald gotten much better usually order would wrong every single time would leave window checked every single item hit fast food month need worth also fry used cold cheese burger never melted everything lukewarm order right time row food hot also love dining room usually find actually inside fast food joint place nice flooring stacked stone lot large window flat screen tv usually hln sometimes nice sneak away quick weekend breakfast know little budget time friendly mommy date,8
